,Athlete Name,Athlete Province,Athlete or Coach,Athlete Sport,Athlete Age,Athlete Height,Athlete Weight,Athletes Clubs or Teams,Athletes Coaches Name,Athletes Team Position,Athletes Previous Games,Athletes Previous Games,Athletes Goals,Athletes Personal Best,Athletes Awards,Athletes Role Model,Athletes Media or Social Media Information,Events Participated In,Athletes Number of Gold Medals,Athletes Number of Silver Medals,Athletes Number of Bronze Medals,Athletes Placements
0,Logan Aalders,New Brunswick,Athlete,Wheelchair Basketball,16,175,73,Elm City Wheelchair Sports Club,Chris Aalders,,,,,,,,,,0,0,0,0
1,Michael Abgrall,British Columbia,Athlete,Hockey,15,"5ft 10""",140 lbs,Burnaby Winter Club,Josh Bonar,Center / LW,AbgrallMichael,AbgrallMichael,To enjoy the once in a lifetime opportunity to represent my home province and try to bring home a gold medal. To bond with my teamates on and off the ice and make new friendships with other athletes from around this great country,,,,,,0,0,0,0
2,Jumana Abouelela,Nova Scotia,Athlete,Squash,18,152,,,Janet MacLeod,,,,Have lots of fun while playing my best squash,,,Raneem E lWelily,I started playing squash in 2006 when I lived in Egypt and I've been playing ever since!,,0,0,0,0
3,Rawan Abouelela,Nova Scotia,Athlete,Squash,14,,,,Janet MacLeod,,,,"Play my best, meet new people and have a lot of fun!",,,,,,0,0,0,0
4,Lyndsy Acheson,British Columbia,Athlete,Hockey,16,170 cm,75kg,Pacific Steelers,Delaney Collins,Defence,@AchesonLyndsy,@AchesonLyndsy,"My goals for the games are to play with speed, enjoy my time there, and to come home with a gold medal.",,"Most Dedicated Player (Summerland Minor Hockey)
Junior Official of the Year (Summerland Minor Hockey)",My parents inspire me to work hard because they work hard to provide the resources for me to flourish. I would like to provide for my family when I grow up they way they do for me.,"I got involved in hockey after my parents put me in ballet and we realized that ballet was not the activity for me. My brother was playing hockey and I would always watch him. Then my parents put me in ""mini vees"" - which is the little league in my town - and I have been playing hockey ever since!",,0,0,1,1
5,Skylar Ackerman,Saskatchewan,Athlete,Curling,17,167,,,Patrick Ackerman,Skip,,,"To play my best, meet new people, and have fun! My goal is to win
the Canada Winter Games!","My personal best result in curling includes winning three provincial
championships and placing second at U18 nationals.",,,"I grew up at the rink surrounded by a curling family. My brother
represented Saskatchewan at the 2015 Canada Winter Games as well.",,0,0,0,0
6,Wren Acorn,Northwest Territories,Athlete,Speed Skating,15,,,,,,,,,,,,,,0,0,0,0
7,Avi Adam,Nova Scotia,Athlete,Hockey,14,170,61,Selects Academy at Bishop Kearney,Brent Hill,Forward,,,My goal is to contribute as best I can to help my team bring a medal back home,"I am the youngest player on Team Nova Scotia so was very happy when I was able to score 4 goals for my team at the Atlantic Challenge Cup in October 2018.

Early in my hockey career I scored over 160 goals in my second year of atom hockey.","-Won 2 Nova Scotia provincial championships.
-Was named provincial tournament MVP in 2017.
-Was named to the All Star team in provincials in 2018.
-Won the JWHL Challenge Cup with the NAHA Prospects in 2018 scoring the semi final and final game winning goals.
-Recently committed to playing NCAA D1 hockey at Cornell University in 2022.",Jill Saulnier is a mentor of mine. I love her style of play. She's very quick and likes to get into the dirty areas and help her teammates out!,"My dad teaches at the local university where I live in Wolfville, Nova Scotia. There has always been a great mens' hockey team at Acadia University. Before I was ever old enough to go to school, I would go to work with my dad and when he was done work he would take me over to the athletics complex which is where the Axemen practice. My dad says that he remembers me asking what it was because I wanted to play it! For my 5th birthday I asked my parents if they could sign me up for hockey and I've loved it ever since!",,0,0,0,0
8,Jake Adams,Nova Scotia,Athlete,Snowboard,16,180,72,Nova Scotia,Matt Chiasson,,,,Land my best run with my best tricks and go from there.,Putting out sick edits,"NS male slopestyle athlete of the year, 2018",,Dad bought m first snowboard when i was five and started then. Started to really get into freestyle after watching Travis Rice's Art of Flight movie.,,0,0,0,0
9,Riley Adams,New Brunswick,Athlete,Speed Skating,16,180,72.5,Fredericton Amateur Speed Skating Club,Derrick MacLeod,,,,"To do my best, to learn from other skaters, and to enjoy a new experience.",,"Bronze and Silver Duke of Edinburgh Award
Snr Cadet With 334 RC Air Cadet Squadron
Male Junior Varsity Cross-Country runner for Oromocto High School","Charles Hamlin
Great Great Grandfather Fred Breen","I was invited by a friend who power skated with me to try short track speed skating. After just one practice, I knew it was the sport for me. Up until then, I played hockey.
That was 4 years ago so when the opportunity came up to try out for the New Brunswick Canada Games team, I had the chance to try long track. I really love both types of speed skating.",,0,0,0,0
10,Sawyer Adams,Yukon,Athlete,Hockey,14,167,52,,,Forward,,,Have fun and play at high level of hockey,Silver BC Provincials,Honour Role,My dad,,,0,0,0,0
11,Matt Afaganis,Alberta,Athlete,Alpine Skiing,14,150,34,Calgary ParaAlpine,Plamen Stamov,,,,,,,,,,0,0,0,0
12,Kostubh Agarwal,Manitoba,Athlete,Squash,16,173cm,55,Winnipeg Squash and Racket Club,Trevor Borland,,,,"Play my best squash throughout the games. Meet and connect with new people. And Overall, experience all that the games has to offer.",,Al Murphy Award,,,,0,0,0,0
