Main Category, Event Name, Event Day and Date, Event Time, Event Location, Event Participant Name, Event Participant Score
C-1 - 200m Female,Heat 1,"Friday, August 11, 2017",09:00,Manitoba Canoe & Kayak Centre,Rowan Hardy-Kavanagh,52.35
C-1 - 200m Female,Heat 1,"Friday, August 11, 2017",09:00,Manitoba Canoe & Kayak Centre,Nicole Boyle,54.61
C-1 - 200m Female,Heat 1,"Friday, August 11, 2017",09:00,Manitoba Canoe & Kayak Centre,Zoey Bourgeois,53.94
C-1 - 200m Female,Heat 1,"Friday, August 11, 2017",09:00,Manitoba Canoe & Kayak Centre,Sam Loutet,56.65
C-1 - 200m Female,Heat 2,"Friday, August 11, 2017",09:05,Manitoba Canoe & Kayak Centre,Anne-Sophie Lavoie-Parent,52.66
C-1 - 200m Female,Heat 2,"Friday, August 11, 2017",09:05,Manitoba Canoe & Kayak Centre,Erin Ung,1:02.90
C-1 - 200m Female,Heat 2,"Friday, August 11, 2017",09:05,Manitoba Canoe & Kayak Centre,Nicole Jessop,53.09
C-1 - 200m Female,Heat 2,"Friday, August 11, 2017",09:05,Manitoba Canoe & Kayak Centre,Maeve McManus,1:14.29
C-1 - 200m Female,Consolation Final,"Friday, August 11, 2017",11:00,Manitoba Canoe & Kayak Centre,Sam Loutet,59.80
C-1 - 200m Female,Consolation Final,"Friday, August 11, 2017",11:00,Manitoba Canoe & Kayak Centre,Maeve McManus,1:13.81
C-1 - 200m Female,Consolation Final,"Friday, August 11, 2017",11:00,Manitoba Canoe & Kayak Centre,Erin Ung,1:03.80
C-1 - 200m Female,Final,"Friday, August 11, 2017",11:05,Manitoba Canoe & Kayak Centre,Anne-Sophie Lavoie-Parent,51.46
C-1 - 200m Female,Final,"Friday, August 11, 2017",11:05,Manitoba Canoe & Kayak Centre,Rowan Hardy-Kavanagh,52.72
C-1 - 200m Female,Final,"Friday, August 11, 2017",11:05,Manitoba Canoe & Kayak Centre,Zoey Bourgeois,55.87
C-1 - 200m Female,Final,"Friday, August 11, 2017",11:05,Manitoba Canoe & Kayak Centre,Nicole Jessop,52.19
C-1 - 200m Female,Final,"Friday, August 11, 2017",11:05,Manitoba Canoe & Kayak Centre,Nicole Boyle,55.41
C-1 - 200m Male,Heat 1,"Thursday, August 10, 2017",09:10,Manitoba Canoe & Kayak Centre,Brady Garcia,41.38
C-1 - 200m Male,Heat 1,"Thursday, August 10, 2017",09:10,Manitoba Canoe & Kayak Centre,Sam Stevens,45.05
