,Team Name,Team Members,Team Competitions,Team Event,Team Contingent,Team Final Position
0,AB,"Bella McKee, Bree Kennedy, Payton Laumbach, Lyndsey Janes, Kassy Betinol, Sierra LaPlante, Jaden Bogden, Brooklyn Schroeder, Aliya Jomha, Rachel Weiss, Teghan Inglis, Sarah Wozniewicz, Hayleigh Craig, Caroline Gosling, Brooklyn Tews, Isabelle Lajoie, Stephanie Markowski, Alex Spence, Jordan Mortlock, Danielle Serdachny","Game 06, Game 17, Game 29, Game 12, Game 21, Gold Medal Game (W29 v W30)",Hockey Female,Alberta,Gold
1,AB,"Kelsey Ayers, Elizabeth Battista, Dana Brunskill, Jaime Czarkowski, Natalie Greenfield, Teah Hoffmann, Camryn Hooey, Adora Kruger, Rosemary Stuart, Kiana Sweet","Technical Routine, Free Routine, Technical Routine, Free Routine",Artistic Swimming Team Female,Alberta,Gold
2,AB,"Bradon Doll, Jonathan Bilan, Ben Tumack, Reed De'Aeth, Jalen Shannon, Branden Troutman, Andrea Nickerson, Helaina Cyr, Romissaa Hassan, Jamie Cole, Ceilidh Nordell, Jayna Doll","Game 02, Game 10, Game 20 (1B vs. 2A), Game 05, Game 13, Gold Medal Match (W19 vs. W20)",Wheelchair Basketball Mix,Alberta,Gold
3,AB,"Cezara Bere, Victoria Goplen, Caitlin Pelkey, Hee-Won Son, Molly Young","Relay Heat 50B, Relay Final 52A",Speed Skating Short Track - Team Relay Female,Alberta,Silver
4,AB,"Zachary Blakely, Alex Boucher, Kalena Soehn, Nolan Zurek","Female Routine, Male Routine",Gymnastics Trampoline - Team Mix,Alberta,Silver
5,AB,"Anthony Chen, Daniel Jiang, James Li","Encounter 2B, Encounter 207, Encounter E_PLC5/6, Encounter 3B, Encounter 210",Table Tennis Team Male,Alberta,5
6,AB,"Anthony Chen, Daniel Jiang","Encounter 2B, Encounter 210, Bronze Medal, Encounter 3B, Encounter 3A",Table Tennis Doubles Male,Alberta,4
7,AB,"Karly Coyne, Pascale Paradis, Jenna Sherrington, Naomi Walch",Race,Biathlon 3 x 6 km Relay Female,Alberta,Gold
8,AB,"Julia Bakos, Julianna MacKenzie, Alyssa Nedohin, Quinn Prodaniuk","Draw 1 - Sheet 06, Draw 4 - Sheet 08, Draw 7 - Sheet 02, Draw 9 - Sheet 11, Draw 11 - Sheet 03, Quarterfinals (3rd vs. 6th) - Sheet 11, Draw 3 - Sheet 10, Draw 5 - Sheet 04, Draw 8 - Sheet 05, Draw 10 - Sheet 09, Draw 12 - Sheet 07",Curling Female,Alberta,5
9,AB,"Anna Bourgeois, Brooklyn McDougall, Kayla McNeely, Cassidy Peterson",Finals,Speed Skating Long Track - Team Pursuit Female,Alberta,Silver
10,AB,"Mohamed Kamal, Ben Boulanger, Seif Elfiky, Antonio Mendes","Encounter 004, Encounter 015, Encounter 031, Bronze Medal, Encounter 010, Encounter 023, Encounter 101",Squash Team Competition Male,Alberta,Bronze
11,AB,"Aaron Cox, Vanessa Estephan","Total of Round 1 and Round 2, Round 2, Elimination 101, Round 1, Elimination 001, Elimination 201 - Bronze Medal",Archery Recurve - Team Mix,Alberta,4
12,AB,"Ivy Bao, Emily Liu","Encounter 1B, Encounter 209, Bronze Medal, Encounter 3B, Encounter 210",Table Tennis Doubles Female,Alberta,4
